city,state,population,state_name,slug
Sparks,NV,93282,Nevada,sparks-nv
Yakima,WA,93257,Washington,yakima-wa
Lee's Summit,MO,93184,Missouri,lee-s-summit-mo
Federal Way,WA,92734,Washington,federal-way-wa
Carson,CA,92599,California,carson-ca
Santa Monica,CA,92472,California,santa-monica-ca
Hesperia,CA,92147,California,hesperia-ca
Allen,TX,92020,Texas,allen-tx
Rio Rancho,NM,91956,New Mexico,rio-rancho-nm
Yuma,AZ,91923,Arizona,yuma-az
Westminster,CA,91739,California,westminster-ca
Orem,UT,91648,Utah,orem-ut
Lynn,MA,91589,Massachusetts,lynn-ma
Redding,CA,91119,California,redding-ca
Spokane Valley,WA,91113,Washington,spokane-valley-wa
Miami Beach,FL,91026,Florida,miami-beach-fl
League City,TX,90983,Texas,league-city-tx
Lawrence,KS,90811,Kansas,lawrence-ks
Santa Barbara,CA,90412,California,santa-barbara-ca
Plantation,FL,90268,Florida,plantation-fl
Sandy,UT,90231,Utah,sandy-ut
Sunrise,FL,90116,Florida,sunrise-fl
Macon,GA,89981,Georgia,macon-ga
Longmont,CO,89919,Colorado,longmont-co
Boca Raton,FL,89407,Florida,boca-raton-fl
San Marcos,CA,89387,California,san-marcos-ca
Greenville,NC,89130,North Carolina,greenville-nc
Waukegan,IL,88826,Illinois,waukegan-il
Fall River,MA,88697,Massachusetts,fall-river-ma
Chico,CA,88077,California,chico-ca
Newton,MA,87971,Massachusetts,newton-ma
San Leandro,CA,87965,California,san-leandro-ca
Reading,PA,87893,Pennsylvania,reading-pa
Norwalk,CT,87776,Connecticut,norwalk-ct
Fort Smith,AR,87650,Arkansas,fort-smith-ar
Newport Beach,CA,87273,California,newport-beach-ca
Asheville,NC,87236,North Carolina,asheville-nc
Nashua,NH,87137,New Hampshire,nashua-nh
Edmond,OK,87004,Oklahoma,edmond-ok
Whittier,CA,86635,California,whittier-ca
Nampa,ID,86518,Idaho,nampa-id
Bloomington,MN,86319,Minnesota,bloomington-mn
Deltona,FL,86290,Florida,deltona-fl
Hawthorne,CA,86199,California,hawthorne-ca
Duluth,MN,86128,Minnesota,duluth-mn
Carmel,IN,85927,Indiana,carmel-in
Suffolk,VA,85728,Virginia,suffolk-va
Clifton,NJ,85390,New Jersey,clifton-nj
Citrus Heights,CA,85285,California,citrus-heights-ca
Livermore,CA,85156,California,livermore-ca
Tracy,CA,84691,California,tracy-ca
Alhambra,CA,84577,California,alhambra-ca
Kirkland,WA,84430,Washington,kirkland-wa
Trenton,NJ,84349,New Jersey,trenton-nj
Ogden,UT,84249,Utah,ogden-ut
Hoover,AL,84126,Alabama,hoover-al
Cicero,IL,84103,Illinois,cicero-il
Fishers,IN,83891,Indiana,fishers-in
Sugar Land,TX,83860,Texas,sugar-land-tx
Danbury,CT,83684,Connecticut,danbury-ct
Meridian,ID,83596,Idaho,meridian-id
Indio,CA,83539,California,indio-ca
Concord,NC,83506,North Carolina,concord-nc
Menifee,CA,83447,California,menifee-ca
Champaign,IL,83424,Illinois,champaign-il
Buena Park,CA,82882,California,buena-park-ca
Troy,MI,82821,Michigan,troy-mi
O'Fallon,MO,82809,Missouri,o-fallon-mo
Johns Creek,GA,82788,Georgia,johns-creek-ga
Bellingham,WA,82631,Washington,bellingham-wa
Westland,MI,82578,Michigan,westland-mi
Bloomington,IN,82575,Indiana,bloomington-in
Sioux City,IA,82459,Iowa,sioux-city-ia
Warwick,RI,81971,Rhode Island,warwick-ri
Hemet,CA,81750,California,hemet-ca
Longview,TX,81443,Texas,longview-tx
Farmington Hills,MI,81295,Michigan,farmington-hills-mi
Bend,OR,81236,Oregon,bend-or
Lakewood,CA,81121,California,lakewood-ca
Merced,CA,81102,California,merced-ca
